RK,NAME,TEAM,SALARY
424,"Shaquille Harrison, G",Denver Nuggets,"$1,620,564"
425,"J.J. Barea, G",Dallas Mavericks,"$1,620,564"
426,"Isaiah Hartenstein, C",Cleveland Cavaliers,"$1,620,564"
427,"Thon Maker, F",Cleveland Cavaliers,"$1,620,564"
428,"Jarell Martin, F",Cleveland Cavaliers,"$1,620,564"
429,"Quinn Cook, PG",Cleveland Cavaliers,"$1,620,564"
430,"Matthew Dellavedova, PG",Cleveland Cavaliers,"$1,620,564"
431,"Wenyen Gabriel, PF",New Orleans Pelicans,"$1,620,564"
432,"Willy Hernangomez, C",New Orleans Pelicans,"$1,620,564"
433,"Isaiah Thomas, G",New Orleans Pelicans,"$1,620,564"
434,"Solomon Hill, SF",Atlanta Hawks,"$1,620,564"
435,"Vince Carter, G",Atlanta Hawks,"$1,620,564"
436,"Dwight Buycks, G",Detroit Pistons,"$1,600,520"
437,"Monte Morris, PG",Denver Nuggets,"$1,588,231"
438,"Antonio Blakeney, G",Chicago Bulls,"$1,588,231"
439,"Tyrone Wallace, SG",Atlanta Hawks,"$1,588,231"
440,"Malachi Richardson, G",Philadelphia 76ers,"$1,569,360"
441,"Georgios Papagiannis, C",Portland Trail Blazers,"$1,544,951"
442,"Chinanu Onuaku, C",Portland Trail Blazers,"$1,544,951"
443,"Wade Baldwin IV, G",Indiana Pacers,"$1,544,951"
444,"Isaiah Whitehead, G",Detroit Pistons,"$1,544,951"
445,"Paul Zipser, F",Chicago Bulls,"$1,544,951"
446,"Jalen McDaniels, PF",Charlotte Hornets,"$1,517,981"
447,"Caleb Martin, SF",Charlotte Hornets,"$1,517,981"
448,"Devonte' Graham, PG",Charlotte Hornets,"$1,517,981"
449,"Dewan Hernandez, F",Toronto Raptors,"$1,517,981"
450,"Daniel Gafford, C",Washington Wizards,"$1,517,981"
451,"Anzejs Pasecniks, C",Washington Wizards,"$1,517,981"
452,"Miye Oni, SG",Utah Jazz,"$1,517,981"
453,"Juwan Morgan, SF",Utah Jazz,"$1,517,981"
454,"Nigel Williams-Goss, G",Utah Jazz,"$1,517,981"
455,"Matt Thomas, SG",Utah Jazz,"$1,517,981"
456,"Luguentz Dort, SF",Oklahoma City Thunder,"$1,517,981"
457,"Isaiah Roby, C",Oklahoma City Thunder,"$1,517,981"
458,"Admiral Schofield, F",Oklahoma City Thunder,"$1,517,981"
459,"Chris Silva, PF",Sacramento Kings,"$1,517,981"
460,"Terence Davis, G",Sacramento Kings,"$1,517,981"
461,"Justin James, SG",Sacramento Kings,"$1,517,981"
462,"Ignas Brazdeikis, F",Orlando Magic,"$1,517,981"
463,"Nicolas Claxton, PF",Brooklyn Nets,"$1,517,981"
464,"Naz Reid, C",Minnesota Timberwolves,"$1,517,981"
465,"Jaylen Nowell, SG",Minnesota Timberwolves,"$1,517,981"
466,"KZ Okpala, SF",Miami Heat,"$1,517,981"
467,"Talen Horton-Tucker, SG",Los Angeles Lakers,"$1,517,981"
468,"Ky Bowman, G",LA Clippers,"$1,517,981"
469,"Terance Mann, SG",LA Clippers,"$1,517,981"
470,"Jalen Lecque, PG",Indiana Pacers,"$1,517,981"
471,"Chris Clemons, G",Houston Rockets,"$1,517,981"
472,"Juan Toscano-Anderson, SF",Golden State Warriors,"$1,517,981"
473,"Alen Smailagic, PF",Golden State Warriors,"$1,517,981"
474,"Mychal Mulder, SG",Golden State Warriors,"$1,517,981"
475,"Eric Paschall, PF",Golden State Warriors,"$1,517,981"
476,"Vlatko Cancar, SF",Denver Nuggets,"$1,517,981"
477,"Dean Wade, PF",Cleveland Cavaliers,"$1,517,981"
478,"Javonte Green, G",Chicago Bulls,"$1,517,981"
479,"Carsen Edwards, PG",Boston Celtics,"$1,517,981"
480,"Bruno Fernando, PF",Atlanta Hawks,"$1,517,981"
